Date	Weather/Temperature	Supervisor	Observation	Inspector
2014/12/02	84 / Rain	Jeff Jiang	"TLC: Crew on site, supervising and overseeing areas to be sand blasted and coated.
Southland Painting: painting crew on site continued to  hydro blast/sand blast wet well areas"	Gregory Mullenski
2014/12/03	84 / Rain	Jeff Jiang	"TLC: Crew on site, crew continued supervising and overseeing areas to be sand blasted and coated.
Southland Painting: painting crew on site continued to  hydro blast/sand blast wet well areas"	Gregory Mullenski
2014/12/04	84 / Rain	Jeff Jiang	"TLC: Crew on site, cleaning and removing construction debris from job site.
Southland Painting: painting crew on site continued to  hydro blast/sand blast wet well areas
Shenandoah: no apparent personnel on site."	Gregory Mullenski
2014/12/05	84 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.
Southland Painting: painting crew on site continued to  hydro blast/sand blast wet well areas
Shenandoah: Crew on Site, cleaning behind painters/ sucking up debris from sand blasting wet well."	Gregory Mullenski
2014/12/08	84 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.
Note* consultant inspector on site, to inspect wet well walls.
Southland Painting: painting crew on site continued to  hydro blast/sand blast wet well areas
Shenandoah: No apparent personnel on site."	Gregory Mullenski
2014/12/09	84 /sunny	Jeff Jiang	"TLC: crew on site ,installing 90 degree elbows in dry well.
Southland Painting: painting crew on site continued to  hydro blast/dry well area.
Shenandoah: No apparent personnel on site."	Gregory Mullenski
2014/12/11	84 /sunny	Jeff Jiang	"TLC: crew on site, and installed Fuel tank for generator.
Southland Painting: painting crew on site continued to prime and paint first floor area. And clean out botton floor debris.
Shenandoah: No apparent personnel on site."	Gregory Mullenski
2014/12/12	84 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.
Southland Painting: painting crew on site continued to prime and paint first floor area. And clean out bottom floor debris.
Shenandoah: No apparent personnel on site."	Gregory Mullenski
2014/12/15	84 /sunny	Jeff Jiang	"TLC: Crew on site, installing rebar for pipe support pedestal.
Southland Painting: painting crew on site continued clean out bottom floor debris.
Gilmore electric: crew on site, installing electrical supply boxes and conduit. “ first floor”"	Gregory Mullenski
2014/12/16	84 /sunny	Jeff Jiang	"TLC: Crew on site, continued installing rebar for pipe support pedestal, and started to prepare forms for concrete.
Note: Nace inspector on site inspecting concrete walls and floor.
Southland Painting: painting crew on site continued clean out bottom floor debris.
Gilmore electric: crew on site, installing electrical supply boxes and conduit. “ first floor”"	Gregory Mullenski
2014/12/17	84 /sunny	Jeff Jiang	"TLC: Crew on site, continued installing rebar for pipe support pedestal, and started to prepare forms for concrete.
Southland Painting: no apparent personnel on site.
Gilmore electric: crew on site,  continued to install electrical supply boxes and conduit. “ first floor”"	Gregory Mullenski
2014/10/27	84	Jeff Jiang	"TLC: Crew on site installing by pass hoses and pumps, crew also prepped for forming concrete slab.
Inspector called for density test for 1:00 p.m.  10/28/14 with Nutting Engineering."	Gregory Mullenski
2014/10/28	84	Jeff Jiang	"TLC: Crew on site installing by pass hoses and pumps, crew also prepped for forming concrete slab. Crew also set up bypass pump “floats” for primary and secondary pumps. Then tested bypass for leaks.
Inspector witnessed  density test at 1:00 p.m.  10/28/14 with Nutting Engineering.
E-2 is now on full bypass.
Inspector also Notified main control that E-2 pumps are  now off and on full bypass."	Gregory Mullenski
2014/10/29	84	Jeff Jiang	"TLC: Crew on site, forming concrete pad for fuel tank storage, and excavate for antenna pad .
Inspector scheduled cylinder test with Nutting Engineering for 2:00 P.M. 10/30/14
."	Gregory Mullenski
2014/10/30	84	Jeff Jiang	"TLC: Crew on site, forming concrete pad for fuel tank storage, pad passed inspection. Crew poured concrete slab and finished off. Crew also poured concrete for antenna base and pad.
Nutting Engineering on site and took cylinder samples.
."	Gregory Mullenski
2014/10/31	84	Jeff Jiang	"TLC: Crew on site, stripped concrete Form boards from around Fuel Storage slab and from around Antenna base slab. Crew also prepped bypass pumps auto dialer and test for weekend.
."	Gregory Mullenski
2014/11/12	84	Jeff Jiang	"TLC: Crew on site, continued the demo and removal of old electrical boxes and wiring on Top Floor.
Painting crew continued to pressure wash and clean areas in wet well."	Gregory Mullenski
2014/11/13	84	Jeff Jiang	"TLC: no apparent personnel on site,
Southland Painting: painting crew on site continued to  hydro blast/sand blast wet well areas"	Gregory Mullenski
2014/11/14	84	Jeff Jiang	"TLC: no apparent personnel on site,
Southland Painting: painting crew on site continued to  hydro blast/sand blast wet well areas"	Gregory Mullenski
2014/11/17	84	Jeff Jiang	"TLC: no apparent personnel on site,
Southland Painting: painting crew on site continued to  hydro blast/sand blast wet well areas"	Gregory Mullenski
2014/11/18	84	Jeff Jiang	"TLC: no apparent personnel on site,
Southland Painting: painting crew on site continued to  hydro blast/sand blast wet well areas"	Gregory Mullenski
2014/11/19	84	Jeff Jiang	"TLC: no apparent personnel on site,
Southland Painting: painting crew on site continued to  hydro blast/sand blast wet well areas"	Gregory Mullenski
2014/11/03	84	Jeff Jiang	"TLC: Crew on site, Plugged lift station main line and set up/ installed bypass floats in manhole. Crew connected by pass hoses and tested bypass to make sure floats were working and adjust accordingly 
Inspector stayed on site to verify bypass pumps cycle."	Gregory Mullenski
2014/11/04	84	Jeff Jiang	"TLC: Crew on site, started to hydroblast wet well and invert area. Clean and prep area for demo.
Crew continued to monitor bypass pumps."	Gregory Mullenski
2014/11/05	84	Jeff Jiang	"TLC: Crew on site, Started to demo areas around suction pipes on top level. 
Crew also continued to pressure wash and clean out wet well area on bottom level."	Gregory Mullenski
2014/11/06	84	Jeff Jiang	"TLC: Crew on site, continued the demo and removal of old suction pumps, valves and pipe. On Top and bottom level of dry well.
Painting crew continued to pressure wash and clean areas in wet well.
Inspector met with WWTP Maintenance Chief, to go over equipment that is to be saved."	Gregory Mullenski
2015/04/01	86 /sunny	Jeff Jiang	"TLC: No apparent personnel on site in am.  
Southland Painting: Crew on site, preparing lift station control room interior walls for painting.
Gilmore Electric: Installing coated rigid electrical conduit and pulling wiring to panels.
Pantropic rep on site reviewing and collecting data on the emergency transfer switch for upgrade."	Joseph Kalinowski
2015/04/02	86 /sunny	Jeff Jiang	"TLC: No apparent personnel on site in am.  
Southland Painting: Crew on site, preparing lift station control room interior walls for painting.
Gilmore Electric: Installing coated rigid seal offs to electrical panels."	Joseph Kalinowski
2015/04/06	86 /sunny	Jeff Jiang	"TLC: No apparent personnel on site in am.  
Southland Painting: Crew on site, painting control room interior walls.
Gilmore Electric: No apparent personnel on site in am.  
Note: Station on by-pass pumping."	Joseph Kalinowski
2015/04/07	86 /sunny	Jeff Jiang	"TLC: No apparent personnel on site in am.  
Southland Painting: Crew on site, painting control room interior walls.
Gilmore Electric: Terminating control wiring in electrical panel.  
Note: Station on by-pass pumping."	Joseph Kalinowski
2015/04/08	86 /sunny	Jeff Jiang	"TLC: No apparent personnel on site in am.  
Southland Painting: Crew on site, painting control room interior walls.
Gilmore Electric: Terminating control wiring in electrical panel.  
Note: Station on by-pass pumping."	Joseph Kalinowski
2015/04/09	86 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.  
Southland Painting: No apparent personnel on site.
Gilmore Electric: Terminating control and power wiring in electrical & RTU panel.
ASCO technician on site Tuesday & Wednesday completed component change inside transfer switch and restored power to lift station.
Startup testing scheduled for Tuesday 4-14-15.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/04/10	86 /sunny	Jeff Jiang	"TLC: Working on punch list patching holes, site cleanup etc…  
Southland Painting: No apparent personnel on site.
Gilmore Electric: Terminating control and power wiring in electrical & RTU panel.
Pantropic & CC Controls on site performing preliminary check outs for proposed start up.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/04/13	86 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.
Southland Painting: Prep work on floor in dry & wet well for proposed coatings.
Gilmore Electric: Terminating control and power wiring in electrical & RTU panel.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/04/14	86 /sunny	Jeff Jiang	"TLC: Punch list work patching holes and grinding down floor below pump suction pipe for coatings.
Southland Painting: No apparent personnel on site.
Gilmore Electric: Terminating control and power wiring in electrical & RTU panel.
Pantropic mechanic on site changing oils and performing service on existing generator.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/04/15	86 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.
Southland Painting: Prep and coating floors inside dry & wet well.
Gilmore Electric: No apparent personnel on site.
Pantropic mechanic on site changing oils and performing service on existing generator.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/04/16	86 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.
Southland Painting: Began and completed applying first coat tan epoxy coating on floors inside dry & wet well.
Gilmore Electric: No apparent personnel on site.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/04/17	86 /sunny	Jeff Jiang	"TLC: Performing punch list patching holes etc…
Southland Painting: Began second coat of red epoxy coating on floors inside dry & wet well.
Gilmore Electric: No apparent personnel on site.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/04/20	86 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.
Southland Painting: No apparent personnel on site.
Gilmore Electric: No apparent personnel on site.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/04/21	86 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.
Southland Painting: No apparent personnel on site.
Gilmore Electric: No apparent personnel on site.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/04/22	86 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.
Southland Painting: No apparent personnel on site.
Gilmore Electric: No apparent personnel on site.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/04/23	86 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.
Southland Painting: No apparent personnel on site.
Gilmore Electric: No apparent personnel on site.
Construction work substantially complete. Startup, testing, by-pass removal and punch list work pending.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/04/24	86 /sunny	Jeff Jiang	"TLC: On site meeting with sub for generator load testing.
Southland Painting: No apparent personnel on site.
Gilmore Electric: No apparent personnel on site.
Construction work substantially complete. Startup, testing, by-pass removal and punch list work pending.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/04/28	86 /sunny	Jeff Jiang	"TLC: No apparent personal on site.
Southland Painting: No apparent personnel on site.
Gilmore Electric: No apparent personnel on site.
Construction work substantially complete. Startup, testing, by-pass removal and punch list work pending.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/04/29	86 /sunny	Jeff Jiang	"TLC: No apparent personal on site.
Southland Painting: No apparent personnel on site.
Gilmore Electric: No apparent personnel on site.
Construction work substantially complete. Startup, testing, by-pass removal and punch list work pending.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/04/30	86 /sunny	Jeff Jiang	"TLC: No apparent personal on site.
Southland Painting: No apparent personnel on site.
Gilmore Electric: No apparent personnel on site.
Construction work substantially complete. Startup, testing, by-pass removal and punch list work pending.
Note: Station on by-pass pumping.
See Photos in the H:\Project Files\8052\2.2A\Folder"	Joseph Kalinowski
2015/02/02	74 /sunny	Jeff Jiang	"TLC: Crew on site,  Installed flag pole
Southland Painting: Crew on site, chipping and removing concrete and exposing rebar in wet well.
Gilmore electric: No apparent personnel on site."	Gregory Mullenski
2015/02/20	74 /sunny	Jeff Jiang	"TLC: Foreman on site overseeing sub-contractors.  
Southland Painting: Fastening new rebar to existing wall inside wet well.
Gilmore electric: Crew on site, working on wiring for the interior light fixtures."	Joseph Kalinowski
2015/02/23	78 /sunny	Jeff Jiang	"TLC: Not on site.  
Southland Painting: Fastening new rebar to existing wall inside wet well.
Gilmore electric: Pulling electrical wiring for upgrade replacement."	Joseph Kalinowski
2015/02/24	78 /sunny	Jeff Jiang	"TLC: Not on site.  
Southland Painting: Chipping sprawled concrete and fastening new rebar to existing wall inside wet well.
Gilmore electric: Pulling proposed upgraded electrical wiring to generator and panels."	Joseph Kalinowski
2015/02/26	78 /sunny	Jeff Jiang	"TLC: Foreman on site overseeing and assisting sub-contractors work.  
Southland Painting: Spraying cement epoxy on walls inside pump room.
Gilmore electric: Pulling proposed upgraded electrical wiring to generator and panels."	Joseph Kalinowski
2015/02/27	78 /sunny	Jeff Jiang	"TLC: Foreman on site overseeing and assisting sub-contractors work.  
Southland Painting: Spraying cement epoxy on walls inside pump room.
Gilmore electric: Pulling proposed upgraded electrical wiring to generator and panels."	Joseph Kalinowski
2015/02/04	74 /sunny	Jeff Jiang	"TLC: Did not locate crew  
Southland Painting: Crew on site,  crew continued chipping and removing concrete and exposing rebar in wet well.
Gilmore electric: No apparent personnel on site."	Gregory Mullenski
2015/02/06	74 /sunny	Jeff Jiang	"TLC: No apparent personnel on site.  
Southland Painting: Crew on site, Blasting and epoxy coating rebar in wet well.
Gilmore electric: Crew on site, working on 4080 amp up grade in meter supply can."	Gregory Mullenski
2015/01/12	74 /sunny	Jeff Jiang	"TLC: Crew on site, stripped concrete forms for pipe support pedestal. Crew also started to form up slab for top floor.
Southland Painting: Crew on site, crew continued to chip out old concrete in bottom of wet  well.
Gilmore electric: crew on site, crew continued to install conduit on the outside of building to electrical box."	Gregory Mullenski
2015/01/13	74 /sunny	Jeff Jiang	"TLC: Crew on site, setting up scaffold to chip concrete  around piping on first floor.
Southland Painting: Crew on site, crew continued to chip out old concrete in bottom of wet  well and coat rebar to prep for wall Mortar.
Gilmore electric: crew on site, crew continued to install conduit on the outside of building to electrical box and install meter box on south side wall."	Gregory Mullenski
